ontolex.LexicalSense	lexicog.usageExample	lexinfo.note	rdfs.comment	rdfs.label.en	rdfs.label.pt	skos.definition.pt	skos.note
lexicalSense:n00176.sg01.s01		Liv.			Apartar-se	 Apartar - se 	
lexicalSense:n00176.sg01.s02					Cessar	 Cessar , desistir 	
lexicalSense:n00177.sg01.s01		Cic.			Desatar	 Desatar 	
lexicalSense:n00177.sg01.s02					Absolver	 Absolver , livrar 	
lexicalSense:n00177.sg01.s03					Acabar	 Acabar , concluir , aperfeiçoar 	
lexicalSense:n00177.sg01.s04		Plaut. absol.			Matar	 Matar , tirar a vida 	
lexicalSense:n00177.sg01.s99	usageExample:n00177.sg01.s99.u01		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)			
lexicalSense:n00178.sg01.s01		Cic.			Absolutamente	 Absolutamente , inteiramente 	
lexicalSense:n00179.sg01.s01		Cic.			Absolvição	 Absolvição 	
lexicalSense:n00179.sg01.s02					Perfeição	 Perfeição 	
lexicalSense:n00180.sg01.s01		Plin.			Remedio efficaz ou especifico	 Remedio efficaz ou especifico 	
lexicalSense:n00181.sg01.s01		Suet.			De absolvição	 De absolvição 	
lexicalSense:n00182.sg01.s01		Cic.			Solto	 Solto 	
lexicalSense:n00182.sg01.s02					Absoluto	 Absoluto 	
lexicalSense:n00182.sg01.s03					Acabado	 Acabado , perfeito 	
lexicalSense:n00183.sg01.s01		Gell.			Desentoadamente	 Desentoadamente 	
lexicalSense:n00184.sg01.s01		Cic.			Dissonante	 Dissonante , desentoado 	
lexicalSense:n00184.sg01.s02		Liv.			Alheio	 Alheio , differente 	
lexicalSense:n00185.sg01.s01		Cic.			Sorver	 Sorver , tragar , engolir 	
lexicalSense:n00186.sg01.s01		(refaria) Suet.			Agoa rosada	 Agoa rosada , liquor distillado das rosas ; ou banquete , onde havia quantidade de rosas , ou de liquores com confeição de rosas 	
lexicalSense:n00188.sg01.s01		Cic.			Sem	 Sem 	
lexicalSense:n00189.sg01.s01		Vitr.			Distancia	 Distancia 	
lexicalSense:n00190.sg01.s01		Ovid.			Sobrio	 Sobrio , frugal no uso do vinho 	
lexicalSense:n00190.sg01.s02		Gell.			Parco	 Parco , moderado , abstinente 	
lexicalSense:n00191.sg01.s01		Scaevol.			Que não póde manejar os seus bens impedido pelo tutor	 Que não póde manejar os seus bens impedido pelo tutor 	
lexicalSense:n00192.sg01.s01		Plaut.			[Alimpar.]	 [ Alimpar . ] 	
lexicalSense:n00193.sg01.s01		Plin.			Alimpar	 Alimpar 	
lexicalSense:n00193.sg01.s02		Cic.			Dissipar	 Dissipar , apartar , tirar 	
lexicalSense:n00194.sg01.s01		Cic.			Aterrar	 Aterrar , amedrontar , intimidar , apartar , prohibir , embaraçar , pôr medo 	
lexicalSense:n00195.sg01.s01		Liv.			Amedrontado	 Amedrontado 	
lexicalSense:n00196.sg01.s01		Cic.			Limpo	 Limpo , enxuto , purificado 	
lexicalSense:n00197.sg01.s01		Petr.			Abstinente	 Abstinente 	
lexicalSense:n00198.sg01.s01		Colum.			De que se deve abster	 De que se deve abster 	
lexicalSense:n00199.sg01.s01		Cic.			Abstinente	 Abstinente , moderado , modesto 	
lexicalSense:n00200.sg01.s01		Pseudo-Cic. in Sall.			Com abstinencia	 Com abstinencia 	
lexicalSense:n00201.sg01.s01		Cic.			Abstinencia	 Abstinencia , continencia , moderação , principalmente em não tomar o alheio 	
lexicalSense:n00202.sg01.s01		Cic.			Abster-se	 Abster - se , moderar - se 	
lexicalSense:n00202.sg01.s02					Moderar	 Moderar , refrear 	
lexicalSense:n00203.sg01.s01		Hor.			Estar ausente	 Estar ausente 	
lexicalSense:n00205.sg01.s01		Cic.			Arrancar	 Arrancar , tirar por força 	
lexicalSense:n00206.sg01.s01		Cic.			Occultar	 Occultar , esconder 	
lexicalSense:n00206.sg01.s99	usageExample:n00206.sg01.s99.u01		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)			
lexicalSense:n00207.sg01.s01		Cic.			Occulto	 Occulto , escondido , escuro 	
lexicalSense:n00209.sg01.s01		Apul.			Descostume	 Descostume 	
lexicalSense:n00210.sg01.s01		Cic.			Estar ausente	 Estar ausente 	
lexicalSense:n00210.sg01.s02					Faltar	 Faltar 	
lexicalSense:n00211.sg01.s01		Plaut.			Consumo do que se come	 Consumo do que se come 	
lexicalSense:n00212.sg01.s01		Cic.			Consumir	 Consumir , despender , devorar , dissipar 	
lexicalSense:n00212.sg01.s99	usageExample:n00212.sg01.s99.u01, usageExample:n00212.sg01.s99.u02, usageExample:n00212.sg01.s99.u03		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)			
lexicalSense:n00213.sg01.s01		Ulp.			Consumo	 Consumo , gasto 	
lexicalSense:n00214.sg01.s01		Hor.			Consumido	 Consumido 	
lexicalSense:n00215.sg01.s01		Cic.			Despropositadamenre	 Despropositadamenre 	
lexicalSense:n00216.sg01.s01		Cic.			Absurdo	 Absurdo , despropositado , improprio 	
lexicalSense:n00218.sg01.s01		* Acc. apud Non.			Torcer	 Torcer , virar , desviar de alguma parte 	
lexicalSense:n00219.sg01.s01		Cic.			Abundante	 Abundante , copioso , abastado 	
lexicalSense:n00219.sg01.s99	usageExample:n00219.sg01.s99.u01		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)			
lexicalSense:n00220.sg01.s01					Abundantemente	 Abundantemente 	
lexicalSense:n00221.sg01.s01		Cic.			Abundancia	 Abundancia 	
lexicalSense:n00222.sg01.s01		Plin.			Inundação	 Inundação 	
lexicalSense:n00223.sg01.s01		Sall.			Abundantemente	 Abundantemente , muito 	
lexicalSense:n00224.sg01.s01		Cic.			Abundar	 Abundar , ser rico 	
lexicalSense:n00224.sg01.s99	usageExample:n00224.sg01.s99.u01, usageExample:n00224.sg01.s99.u02		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)			
lexicalSense:n00225.sg01.s01		Gell.			Abundante	 Abundante 	
lexicalSense:n00226.sg01.s01		* Cic.			Fugir voando	 Fugir voando 	
lexicalSense:n00227.sg01.s01		Cic.			Catachrese	 Catachrese 	
lexicalSense:n00227.sg01.s02					Tropo	 Tropo , ou figura , quando por fala de palavras proprias se usa de outras 	
lexicalSense:n00228.sg01.s01		Quinct.			Por abuso	 Por abuso 	
